"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9737","Search for a product and view details","","Mon Jan 20 14:21:53 IST 2025","passed","Mon Jan 20 14:22:03 IST 2025","","Search and view product on Target","",""
"","1196","Verifing Video Playback and Quality Options","","Mon Jan 20 14:28:53 IST 2025","passed","Mon Jan 20 14:28:55 IST 2025","","The youtube Website","",""
"","486","Validate Footer Components","","Mon Jan 20 14:23:49 IST 2025","passed","Mon Jan 20 14:23:49 IST 2025","","Testim Application","",""
"","8326","As a user, I am on YouTube Homepage","","Mon Jan 20 14:28:23 IST 2025","passed","Mon Jan 20 14:28:32 IST 2025","","The youtube Website","",""
"","4209","Select a specific watch and view price and discount","","Mon Jan 20 14:22:03 IST 2025","passed","Mon Jan 20 14:22:07 IST 2025","","Search and view product on Target","",""
"","1508","Navigate to the Customers Section and Review","","Mon Jan 20 14:23:47 IST 2025","passed","Mon Jan 20 14:23:49 IST 2025","","Testim Application","",""
"","9510","Search for a Video","","Mon Jan 20 14:28:32 IST 2025","passed","Mon Jan 20 14:28:41 IST 2025","","The youtube Website","",""
"","2021","Validate Header Components","","Mon Jan 20 14:23:45 IST 2025","passed","Mon Jan 20 14:23:47 IST 2025","","Testim Application","",""
"","16451","Search and filter hotels on Booking.com","","Mon Jan 20 14:14:41 IST 2025","passed","Mon Jan 20 14:14:57 IST 2025","","Booking.com Website Test","",""
"","12234","Click on a Video from Results","","Mon Jan 20 14:28:41 IST 2025","passed","Mon Jan 20 14:28:53 IST 2025","","The youtube Website","",""
"","218","Navigate to the Company Section","","Mon Jan 20 14:23:47 IST 2025","passed","Mon Jan 20 14:23:47 IST 2025","","Testim Application","",""
